empid,from_date,to_date,deptID
1001,12/17/2015,12/16/2016,1
1002,9/10/2012,,2
1002,9/11/2011,9/10/2012,2
1003,2/18/2011,,3
1003,2/18/2009,2/18/2011,3
1004,6/27/2016,,4
1004,6/28/2011,6/27/2016,4
1005,1/22/2011,1/22/2012,3
1006,5/22/2009,5/22/2010,2
1007,4/20/2007,4/19/2008,3
1008,7/29/2009,7/29/2010,2
1009,11/26/2011,,1
1009,11/26/2009,11/26/2011,1
1010,8/2/2011,8/1/2012,2
1011,9/23/2000,9/23/2001,3
1012,10/9/2013,10/9/2014,4
1013,12/1/2012,12/1/2013,1
1014,4/2/2011,4/1/2012,2
1015,9/2/2004,9/2/2005,3
1016,2/18/2007,2/18/2008,4
1017,7/9/2006,7/9/2007,1
1018,11/19/2009,11/19/2010,2
1019,9/26/2017,9/26/2018,1
1020,10/29/2018,10/29/2019,4
